applicable_date,ROI-DA,load_forecast_ni,load_forecast_roi,aggregated_forecast,load_forecast_ni_four_day_aggregate_wind,load_forecast_roi_four_day_aggregate_wind,aggregated_forecast_four_day_aggregate_wind,total_pn,net_interconnector_schedule,tso_demand_forecast,tso_renewable_forecast,calculated_imbalance
01/05/2019 00:00,45.256,646,2803,3449,45.85,259.64,305.49,2669.73,153,3379,219.091,337.179
01/05/2019 01:00,44.97,658,2590,3248,16.89,167.2,-100000,2609.77,416,3248,224.018,-1.788
01/05/2019 02:00,43.324,658,2513,-100000,33.32,182.25,215.57,2609.37,0,3124,230.171,284.459
01/05/2019 03:00,42.51,597,2558,3155,96.32,369.74,466.06,2520.1,0,3152,246.255,385.645
01/05/2019 04:00,41.86,612,2579,3191,89.34,239.86,-100000,2681.77,342,3202,244.302,-66.072
01/05/2019 05:00,43.377,691,2701,3392,62.34,282.52,344.86,2898.94,152,3392,245.103,95.958
01/05/2019 06:00,45.799,866,3149,4015,29.17,155.25,184.42,3697.38,287,4015,246.064,-215.444
01/05/2019 07:00,66.862,1041,3697,-100000,46.05,280.54,326.59,3918.4,694,4738,270.605,-145.005
01/05/2019 08:00,72.872,997,3913,4910,57.92,175.64,233.56,3938.59,409,4886,301.169,237.241
01/05/2019 09:00,70,1007,3879,4886,72.76,294.49,-100000,3785.83,0,4921,346.838,788.332
01/05/2019 10:00,68.014,1014,3906,4920,99.57,288.8,388.37,3675.74,398,4932,384.91,473.351
01/05/2019 11:00,63.885,1021,3932,4953,111.56,185.5,-100000,3669.19,720,4952,486.603,76.207
01/05/2019 12:00,60.727,1003,3927,4930,69.73,168.73,-100000,3623.28,244,4947,595.887,483.833
01/05/2019 13:00,53.44,970,3691,-100000,126.94,376.4,503.34,3594.64,551,4661,662.856,-147.496
01/05/2019 14:00,45.597,973,3866,4839,139.86,697.04,836.9,3529.87,213,4811,848.607,219.522
01/05/2019 15:00,46.153,1032,3871,4903,48.55,250.01,298.56,3649.03,281,4731,1057.49,-256.522
01/05/2019 16:00,56.913,1086,4066,5152,57.3,489.61,-100000,3647.39,323,5153,970.562,212.048
01/05/2019 17:00,63,1093,4121,5214,102.83,796.83,899.66,3660.38,365,5078,1053.91,-1.293
01/05/2019 18:00,61.667,1055,3918,4973,56.97,314.5,371.47,3632.74,202,4958,997.624,125.636
01/05/2019 19:00,57.012,985,3987,4972,71.5,427.32,498.82,3595.76,111,4726,951.803,67.437
01/05/2019 20:00,60.47,1000,4047,5047,108.6,714.84,823.44,3603.42,0,4850,840.709,405.871
01/05/2019 21:00,56.246,949,3769,4718,25.93,376.07,402,3533.93,420,4598,764.86,-120.79
01/05/2019 22:00,44.977,852,3250,4102,50.36,270.52,320.88,3480.16,243,4102,785.478,-406.638
01/05/2019 23:00,46,699,2774,3473,60.08,664.53,-100000,2919.29,15,3515,789.35,-208.636
02/05/2019 00:00,42.884,646,2679,3325,127.14,733,860.14,2674.31,0,3351,822.413,-145.728
02/05/2019 01:00,41.26,607,2714,3321,85.84,369.11,454.95,2531.54,0,3218,852.387,-165.931
02/05/2019 02:00,40.18,632,2512,3144,88.83,270.1,358.93,2455.19,-83,2512,835.119,-695.312
02/05/2019 03:00,38.99,600,2505,3105,143.79,748.32,-100000,2455.24,-124,3105,959.851,-186.093
02/05/2019 04:00,38.612,644,2544,3188,102.86,533.94,636.8,2783.67,-57,3187,803.72,-343.391
02/05/2019 05:00,42.028,720,2682,3402,42.49,678.08,-100000,2770.99,-346,2682,801.582,-544.572
02/05/2019 06:00,44.732,821,3088,3909,50.48,466.61,-100000,3632.9,-255,3909,746.032,-214.93
02/05/2019 07:00,55.18,1009,3585,4594,85.15,457.63,-100000,3694.76,-15,4594,785.019,129.224
02/05/2019 08:00,64.671,1093,3720,4813,189.56,861.65,-100000,3711.28,410,4812,823.787,-133.063
02/05/2019 09:00,57,1033,3762,4795,201.2,501.47,702.67,3614.15,127,4861,863.409,256.446
02/05/2019 10:00,47.588,1127,3776,4903,288.1,914.73,-100000,3581.26,250,4902,894.223,176.513
02/05/2019 11:00,45.148,1124,3798,4922,319.7,893.54,-100000,3352.91,407,4917,807.965,349.122
02/05/2019 12:00,45.73,1022,3927,4949,185.51,663.75,849.26,3328.04,530,4871,526.105,486.854
02/05/2019 13:00,45,1053,3716,4769,427.03,1143.52,-100000,3547.15,777,3716,726.407,-1334.56
02/05/2019 14:00,43.805,976,3866,4842,171.3,301.89,473.19,3447.72,420,4745,475.383,401.897
02/05/2019 15:00,43.927,1120,3742,4862,137.89,416.84,-100000,3691.08,447,4862,423.179,300.743
02/05/2019 16:00,53,1061,4066,5127,141.41,521.99,-100000,3718.01,375,5080,430.734,556.259
02/05/2019 17:00,64.427,1096,4121,5217,515.87,1273.33,1789.2,3829.82,345,3950,351.29,-576.106
02/05/2019 18:00,65.881,1128,3785,4913,100.32,455.96,556.28,3839.9,138,4913,297.199,637.906
02/05/2019 19:00,65.476,1001,3693,4694,86.4,324.38,-100000,3818.54,403,4780,428.533,129.923
02/05/2019 20:00,65.2,1029,3715,4744,57.67,306.38,-100000,3726.34,72,4750,431.533,520.125
02/05/2019 21:00,65.478,1018,3495,4513,181.88,487.23,-100000,3624.53,188,4513,480.595,219.874
02/05/2019 22:00,44.926,847,3180,4027,399.59,1185.46,1585.05,3423.86,518,4049,345.297,-238.157
02/05/2019 23:00,47.71,748,2821,3569,102.03,223.64,325.67,2886.7,261,3575,344.952,82.352
03/05/2019 00:00,42.556,673,2696,3369,115.9,439.21,-100000,2647.17,202,3389,347.882,191.953
03/05/2019 01:00,42.389,653,2518,-100000,47.26,137.35,-100000,2715.14,0,3193,343.316,134.541
03/05/2019 02:00,42.27,665,2444,3109,191.63,344.86,-100000,2645.27,0,3104,351.779,106.948
03/05/2019 03:00,42.27,588,2460,3048,106.51,379.54,486.05,2548.9,0,3047,378.761,119.337
03/05/2019 04:00,41.865,651,2421,3072,195.67,525.7,-100000,2689.97,15,2421,283.399,-567.369
03/05/2019 05:00,42.228,672,2549,-100000,66.31,265.98,332.29,2843.1,-268,3289,332.83,381.071
03/05/2019 06:00,45.745,929,3072,4001,223.1,455.99,-100000,3565.04,-160,3913,552.521,-44.56
03/05/2019 07:00,61.553,1100,3687,4787,155.5,337.39,492.89,3669.31,-15,3687,461.902,-429.209
03/05/2019 08:00,67.295,1125,3861,4986,364.24,357.83,-100000,3675.51,171,3861,709.73,-695.236
03/05/2019 09:00,65.1,1109,3883,4992,329.1,569.98,899.08,3683.14,113,3883,908.577,-821.711
03/05/2019 10:00,62.541,1081,3883,4964,196.73,487.98,-100000,3532.06,84,3798,1019.86,-837.924
03/05/2019 11:00,55.755,1057,3832,4889,344.7,673.44,-100000,3528.99,-15,3832,987.712,-669.705
03/05/2019 12:00,52.231,1046,3830,4876,388.38,675.64,1064.02,3501.89,-135,4876,1155.42,353.687
03/05/2019 13:00,47.446,995,3705,4700,407.19,667.59,1074.78,3464.54,-178,3705,1202.37,-783.911
03/05/2019 14:00,44.71,971,3636,4607,470.35,835.31,1305.66,3360.83,0,4626,1226.41,38.756
03/05/2019 15:00,44.071,996,3658,4654,645.57,1115.32,-100000,3421.4,-392,4676,1560.43,86.178
03/05/2019 16:00,46.695,1048,3703,4751,413.24,765.04,-100000,3479.51,-289,4733,1543.45,-0.967
03/05/2019 17:00,49.912,1040,3773,4813,761.23,1223.69,1984.92,3539.07,-301,4804,1645.44,-79.509
03/05/2019 18:00,48.217,1017,3630,4647,528.62,735.66,1264.28,3472.43,-424,4661,1604.77,7.801
03/05/2019 19:00,48.874,955,3453,4408,585.34,1045.78,-100000,3049.76,-377,3453,1746.25,-966.011
03/05/2019 20:00,49.368,981,3438,4419,496.3,1110.02,1606.32,3093.78,-237,4558,1731.94,-30.724
03/05/2019 21:00,47.759,907,3457,4364,353.9,910.53,-100000,3048.09,-82,4330,1614.29,-250.381
03/05/2019 22:00,41.278,870,3083,3953,470.5,1105.01,-100000,3138.42,-504,3903,1421.17,-152.591
03/05/2019 23:00,44.44,700,2955,3655,407.88,1350.07,1757.95,2657.49,0,3631,1543.7,-570.184
04/05/2019 00:00,41.98,663,2803,3466,359.71,1432.21,-100000,2462.76,0,3382,1598.29,-679.053
04/05/2019 01:00,35.69,623,2688,3311,407.51,1298.23,1705.74,2782.48,0,3169,1542.35,-1155.83
04/05/2019 02:00,34,637,2397,3034,320.05,1237.3,-100000,2394.33,0,3034,1449.73,-810.066
04/05/2019 03:00,33,564,2509,3073,285,1190.03,-100000,2366.81,0,2979,1399.05,-786.861
04/05/2019 04:00,33,575,2533,3108,233.61,1153.69,-100000,2820.85,0,2993,1225.15,-1053
04/05/2019 05:00,34,629,2340,2969,208.68,967.38,1176.06,2506.1,-500,2340,1330.59,-996.694
04/05/2019 06:00,39.724,710,2555,3265,241.3,1135.7,-100000,2818.56,-368,3269,1047.4,-228.965
04/05/2019 07:00,44.66,721,3009,3730,147.68,423.8,571.48,3108.46,-217,2929,1230.81,-1193.27
04/05/2019 08:00,46.34,826,3281,4107,278.97,1006.09,-100000,3387.55,-63,3291,1201.83,-1235.38
04/05/2019 09:00,44.739,851,3470,4321,303.41,814.05,1117.46,3267.9,-15,4439,960.995,225.11
04/05/2019 10:00,45.036,956,3483,4439,254.74,344.94,-100000,3319.16,150,3483,950.135,-936.299
04/05/2019 11:00,42.82,943,3456,4399,187.86,296.86,484.72,3212.8,333,4436,762.025,128.172
04/05/2019 12:00,41.54,940,3466,4406,245.25,253.49,498.74,3325.06,105,3415,768.774,-783.836
04/05/2019 13:00,40.243,884,3355,4239,273.29,231.04,-100000,3024.67,57,4143,635.028,426.301
04/05/2019 14:00,37.97,779,3205,3984,261.63,147.97,-100000,3034.43,410,3205,590.932,-830.362
04/05/2019 15:00,39.59,871,3303,4174,338.44,314.79,653.23,3360.1,285,3962,537.147,-220.245
04/05/2019 16:00,45.494,917,3388,4305,346.28,285.52,631.8,3510.09,207,4092,482.82,-107.907
04/05/2019 17:00,51.692,993,3374,4367,176.35,133.46,309.81,3571,280,4261,445.13,-35.126
04/05/2019 18:00,58.51,931,3492,4423,274.3,228.53,502.83,3636.83,191,4227,478.619,-79.454
04/05/2019 19:00,62.13,921,3348,4269,196.88,185.96,-100000,3614.8,15,4007,351.983,25.213
04/05/2019 20:00,63.863,881,3100,3981,136.1,164.62,300.72,3664.76,-15,3986,309.178,27.059
04/05/2019 21:00,73.91,897,3294,4191,108.06,194.72,302.78,3574.24,15,4049,318.029,141.73
04/05/2019 22:00,59.196,793,2998,3791,55.96,159.26,215.22,3442.92,-147,3701,256.439,148.641
04/05/2019 23:00,54,708,2844,3552,94.19,141.05,235.24,3369.91,-349,3550,234.377,294.717
05/05/2019 00:00,45.898,638,2714,3352,78.73,190.2,268.93,3289.32,-139,3402,230.82,20.855
05/05/2019 01:00,43.93,611,2565,3176,64.47,103.26,167.73,3096.3,-278,3226,200.144,207.552
05/05/2019 02:00,41.92,647,2455,3102,65.37,131.35,196.72,3095.95,0,3052,180.488,-224.441
05/05/2019 03:00,41.28,579,2420,2999,60.14,97.54,157.68,3054.61,0,2999,159.136,-214.748
05/05/2019 04:00,40.916,626,2408,3034,26.89,82.25,-100000,3004.96,0,2408,127.733,-724.694
05/05/2019 05:00,37.496,604,2350,2954,56.09,87.26,143.35,2999.33,0,2350,118.151,-767.48
05/05/2019 06:00,37.857,641,2467,3108,64.33,92.96,-100000,3073.5,-111,2467,117.247,-612.745
05/05/2019 07:00,36.694,702,2714,3416,48.13,89.85,137.98,2935.91,184,2714,130.002,-535.91
05/05/2019 08:00,39.87,811,3010,3821,99.92,69.12,169.04,3780.8,15,3030,147.812,-913.608
05/05/2019 09:00,43.76,913,3227,4140,112.8,56.91,169.71,3895.44,-15,3235,126.159,-771.594
05/05/2019 10:00,50.271,947,3346,4293,93.08,31.39,-100000,3895.99,0,3330,190.414,-756.409
05/05/2019 11:00,52.54,910,3390,4300,162.55,56.18,218.73,3984.81,0,4300,189.857,125.33
05/05/2019 12:00,55.87,1081,3458,4539,147.83,55.77,-100000,3956.49,15,4267,207.112,88.396
05/05/2019 13:00,52.869,994,3383,4377,169.23,42.71,-100000,3845.11,0,3226,239.927,-859.033
05/05/2019 14:00,46.823,801,3129,3930,114.99,57.68,-100000,3839.27,-77,3129,242.299,-875.569
05/05/2019 15:00,45.763,963,3248,4211,214.13,91.74,-100000,3952.28,0,3873,242.434,-321.712
05/05/2019 16:00,50.16,861,3116,3977,125.88,76.93,202.81,4034.62,-144,4012,242.079,-120.696
05/05/2019 17:00,53.732,898,3210,4108,183.05,100.24,-100000,4086.53,15,4108,269.378,-262.905
05/05/2019 18:00,59.875,932,3164,4096,166.57,120.63,287.2,4016.44,0,4025,258.668,-250.104
05/05/2019 19:00,59,1008,3391,4399,65.03,116.51,181.54,3945.08,-81,3084,257.603,-1037.69
05/05/2019 20:00,62.175,873,3069,3942,111.65,164.48,276.13,4062,-109,3942,258.68,-269.683
05/05/2019 21:00,62.124,912,3131,4043,87.74,155.57,243.31,3964.91,-290,4078,230.357,172.731
05/05/2019 22:00,51.121,812,2971,3783,66.81,160.98,-100000,3921.59,-274,3740,282.314,-189.904
05/05/2019 23:00,49.559,701,2665,3366,56.66,155.08,-100000,3407.46,-154,3366,207.292,-94.748
06/05/2019 00:00,41.92,624,2568,3192,68.82,163.07,231.89,3098.83,-34,3227,186.966,-24.801
06/05/2019 01:00,41.28,599,2515,3114,46.39,108.75,-100000,3320.96,0,3122,160.958,-359.922
06/05/2019 02:00,40,606,2404,3010,52.15,115.73,167.88,2979.75,-145,2393,174.384,-616.131
06/05/2019 03:00,36.428,600,2381,2981,24.16,117.32,141.48,2979.08,-217,2367,118.75,-513.832
06/05/2019 04:00,36.586,636,2562,3198,37.86,96.81,-100000,3265.11,-362,3006,125.245,-22.36
06/05/2019 05:00,44.76,618,2300,2918,37.23,91.67,128.9,3185.37,-370,2380,106.968,-542.338
06/05/2019 06:00,41.92,681,2428,3109,51.18,69.17,-100000,3858.48,0,2512,117.255,-1463.73
06/05/2019 07:00,44.086,760,2668,3428,98.87,66.77,-100000,4024.22,-564,3616,126.907,28.876
06/05/2019 08:00,45.202,1086,3825,4911,83.11,104.72,187.83,4071.38,-427,3981,135.912,200.712
06/05/2019 09:00,45.535,903,3123,4026,84.02,64.52,-100000,4112.02,-175,3270,134.38,-801.406
06/05/2019 10:00,47.044,992,3340,4332,88.52,109.44,-100000,4087.62,-84,3340,170.3,-833.924
