,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,RandomForestRegressor_QuantileTransformer,0.7978953198303149,9.811313241963353,0.8592352637569369,177.8164712283987,13.334784258787193,inf
Output_1,SVR_QuantileTransformer,0.08617787887009487,20.644006743154247,0.4006285222940209,952.8412619481785,30.86812695885804,inf
Output_2,SVR_QuantileTransformer,0.0736409476962887,19.49427733708193,0.4260303709960832,862.7026185148035,29.371799715284787,inf
Output_3,SGDRegressor_RobustScaler,0.11754254524201135,19.57154385938631,0.45820112930505746,834.9335582383042,28.895216874740775,inf
Output_4,SGDRegressor_MinMaxScaler,0.13301655735441453,19.546311131549526,0.4388656202795989,822.145761861762,28.67308427535765,inf
Output_5,SGDRegressor_RobustScaler,0.13409325742823175,19.740652950889775,0.45036906268863824,826.813253400242,28.754360598007427,inf
Output_6,PassiveAggressiveRegressor_MinMaxScaler,0.10868412275143269,19.790959585231317,0.4058203103173137,827.3633014479107,28.763923610104214,inf
Output_7,PassiveAggressiveRegressor_MinMaxScaler,0.18810961417163097,19.924672316050373,0.47128823577652434,793.3701868941959,28.166827774781382,inf
Output_8,PassiveAggressiveRegressor_MinMaxScaler,0.1332608229335992,24.277250797059168,0.4431088891280994,1116.825268708257,33.418935780605835,inf
Output_9,PassiveAggressiveRegressor_QuantileTransformer,0.13149997096364063,27.446192891769204,0.42754224332824997,1456.3797463949827,38.16254376211029,332.69320539935757
Output_10,SGDRegressor_QuantileTransformer,0.12439704352913594,25.91742121633763,0.4040671558077751,1287.3875352538573,35.880183043761875,571.8335305805967
Output_11,SGDRegressor_QuantileTransformer,0.11902385616394406,24.59566134915643,0.4221300388926265,1271.8146410647512,35.66251030234343,inf
Output_12,SGDRegressor_QuantileTransformer,0.10010413843000965,24.197310925877044,0.4125421245650428,1252.239804079053,35.38700049564886,inf
Output_13,SGDRegressor_QuantileTransformer,0.08674163385485623,23.813568739172123,0.4022912730107469,1190.8750030476242,34.50905682639884,inf
Output_14,SVR_QuantileTransformer,0.10576622050872353,23.005696327057365,0.4015184994670093,1139.320859632567,33.753827333097604,inf
Output_15,SGDRegressor_StandardScaler,0.15794413182648648,21.67377300382778,0.4482575225012615,1020.1009566187794,31.93901934341096,inf
Output_16,BayesianRidge_QuantileTransformer,0.196043971555525,21.169787028784135,0.4929009436391979,925.8964104524649,30.428545979925904,inf
Output_17,SVR_StandardScaler,0.196918076803697,23.492363479341776,0.4604600030303213,1101.2234161668025,33.18468647082269,inf
Output_18,SVR_StandardScaler,0.18520909848405875,25.77622048503927,0.47107124272981915,1269.7662256380165,35.63377927806727,25.787607124291668
Output_19,KernelRidge_QuantileTransformer,0.12656942785637404,29.65325784991512,0.41647264494237285,1752.129961333662,41.858451492305136,22.664014938106774
Output_20,SVR_QuantileTransformer,0.04772312968039305,27.499424020674955,0.3530525947626698,1586.808898077239,39.83476996390514,20.48391495865035
Output_21,SGDRegressor_QuantileTransformer,0.061011566862910205,23.206683635819804,0.3967096991199356,1071.2048093602511,32.7292653348689,19.24619072507144
Output_22,KernelRidge_QuantileTransformer,0.11512019776566007,21.881123507592026,0.4021074799083676,919.4185461656103,30.321915278649705,22.460043230488992
Output_23,ElasticNet_QuantileTransformer,0.14484753925451221,17.556654794518753,0.4550908329072189,618.9754412025001,24.87921705364741,299.09526578736035
