applicable_date,elec_prices
2023-06-30 03:00:00,95
2023-06-30 04:00:00,99
2023-06-30 05:00:00,113
2023-06-30 06:00:00,131
2023-06-30 07:00:00,134.19
2023-06-30 08:00:00,121.66
2023-06-30 09:00:00,111.65
2023-06-30 10:00:00,108.99
2023-06-30 11:00:00,106.6
2023-06-30 12:00:00,94.47
2023-06-30 13:00:00,88.76
2023-06-30 14:00:00,85
2023-06-30 15:00:00,90.45
2023-06-30 16:00:00,101.96
2023-06-30 17:00:00,104.47
2023-06-30 18:00:00,110
2023-06-30 19:00:00,104
2023-06-30 20:00:00,102
2023-06-30 21:00:00,94.95
2023-06-30 22:00:00,101
2023-06-30 23:00:00,91
2023-07-01 00:00:00,80.52
2023-07-01 01:00:00,70
2023-07-01 02:00:00,60.83
2023-07-01 03:00:00,57.4
2023-07-01 04:00:00,55
2023-07-01 05:00:00,59.6
2023-07-01 06:00:00,65.28
2023-07-01 07:00:00,62.82
2023-07-01 08:00:00,50.68
2023-07-01 09:00:00,38.76
2023-07-01 10:00:00,26.09
2023-07-01 11:00:00,13
2023-07-01 12:00:00,2.87
2023-07-01 13:00:00,1
2023-07-01 14:00:00,8
2023-07-01 15:00:00,30
2023-07-01 16:00:00,57.61
2023-07-01 17:00:00,80.08
2023-07-01 18:00:00,91
2023-07-01 19:00:00,102
2023-07-01 20:00:00,114.89
2023-07-01 21:00:00,146
2023-07-01 22:00:00,134.3
2023-07-01 23:00:00,120
2023-07-02 00:00:00,99
2023-07-02 01:00:00,80
2023-07-02 02:00:00,80
2023-07-02 03:00:00,80.55
2023-07-02 04:00:00,80
2023-07-02 05:00:00,75.15
2023-07-02 06:00:00,80.82
2023-07-02 07:00:00,87
2023-07-02 08:00:00,72.21
2023-07-02 09:00:00,68.6
2023-07-02 10:00:00,46.55
2023-07-02 11:00:00,35
2023-07-02 12:00:00,1.67
2023-07-02 13:00:00,1
2023-07-02 14:00:00,1
2023-07-02 15:00:00,12.96
2023-07-02 16:00:00,46.55
