applicable_date,elec_prices,daily_natural_gas_prices,daily_oil_price,rain_d,temp_d,wddir_d,wdsp_d,rain_c,temp_c,wddir_c,wdsp_c,rain_g,temp_g,wdsp_g,wddir_g
2019-01-01 00:00:00,70.28,0.0,0.0,0.0,8.8,250,9,0.0,8.5,240,4,0.0,8.5,4,240
2019-01-01 01:00:00,65.18,0.0,0.0,0.0,8.3,250,9,0.0,8.5,270,3,0.0,8.5,3,270
2019-01-01 02:00:00,60.91,0.0,0.0,0.0,8.4,240,8,0.0,8.4,280,3,0.0,8.4,3,280
2019-01-01 03:00:00,65.16,0.0,0.0,0.0,8.6,250,8,0.0,8.5,260,5,0.0,8.5,5,260
2019-01-01 04:00:00,65.16,0.0,0.0,0.0,8.4,250,10,0.0,8.5,270,5,0.0,8.5,5,270
2019-01-01 05:00:00,68.29,0.0,0.0,0.0,8.4,260,10,0.0,8.2,290,3,0.0,8.2,3,290
2019-01-01 06:00:00,63.03,0.0,0.0,0.0,8.5,260,10,0.0,8.0,330,2,0.0,8.0,2,330
2019-01-01 07:00:00,51.621,0.0,0.0,0.0,8.8,250,9,0.0,7.9,310,4,0.0,7.9,4,310
2019-01-01 08:00:00,51.632,0.0,0.0,0.0,8.8,260,9,0.0,8.0,320,3,0.0,8.0,3,320
2019-01-01 09:00:00,59.965,0.0,0.0,0.0,8.3,260,9,0.0,7.9,10,2,0.0,7.9,2,10
2019-01-01 10:00:00,67.73,0.0,0.0,0.0,8.5,270,9,0.0,8.0,20,2,0.0,8.0,2,20
2019-01-01 11:00:00,64.09,0.0,0.0,0.0,8.6,270,9,0.0,8.2,270,3,0.0,8.2,3,270
2019-01-01 12:00:00,80.0,0.0,0.0,0.0,9.0,280,11,0.0,8.4,270,2,0.0,8.4,2,270
2019-01-01 13:00:00,110.33,0.0,0.0,0.0,9.2,320,9,0.0,8.4,250,3,0.0,8.4,3,250
2019-01-01 14:00:00,100.278,0.0,0.0,0.1,7.8,40,7,0.0,8.5,260,2,0.0,8.5,2,260
2019-01-01 15:00:00,110.33,0.0,0.0,0.1,7.6,20,8,0.0,8.3,320,3,0.0,8.3,3,320
2019-01-01 16:00:00,185.0,0.0,0.0,0.0,7.3,350,7,0.0,8.3,260,2,0.0,8.3,2,260
2019-01-01 17:00:00,270.0,0.0,0.0,0.0,6.8,10,6,0.0,8.1,330,2,0.0,8.1,2,330
2019-01-01 18:00:00,250.0,0.0,0.0,0.0,5.3,10,6,0.0,8.1,340,3,0.0,8.1,3,340
2019-01-01 19:00:00,148.0,0.0,0.0,0.0,5.6,20,5,0.0,8.1,310,3,0.0,8.1,3,310
2019-01-01 20:00:00,90.0,0.0,0.0,0.0,4.6,360,5,0.0,8.0,320,3,0.0,8.0,3,320
2019-01-01 21:00:00,66.0,0.0,0.0,0.0,3.3,10,5,0.0,7.8,350,4,0.0,7.8,4,350
2019-01-01 22:00:00,89.0,0.0,0.0,0.0,2.5,10,5,0.0,7.6,10,3,0.0,7.6,3,10
2019-01-01 23:00:00,76.09,0.0,0.0,0.0,3.0,10,3,0.0,7.3,350,2,0.0,7.3,2,350
2019-01-02 00:00:00,76.205,2.9,46.31,0.0,4.4,290,2,0.1,7.5,10,2,0.1,7.5,2,10
2019-01-02 01:00:00,73.664,2.9,46.31,0.0,4.3,70,3,0.1,7.3,340,2,0.1,7.3,2,340
2019-01-02 02:00:00,71.38,2.9,46.31,0.0,4.7,340,2,0.2,7.3,290,1,0.2,7.3,1,290
2019-01-02 03:00:00,71.38,2.9,46.31,0.0,5.1,320,2,0.3,7.2,280,1,0.3,7.2,1,280
2019-01-02 04:00:00,66.98,2.9,46.31,0.0,5.1,100,3,0.1,7.0,280,3,0.1,7.0,3,280
2019-01-02 05:00:00,71.38,2.9,46.31,0.0,6.4,100,6,0.1,7.0,340,3,0.1,7.0,3,340
2019-01-02 06:00:00,71.38,2.9,46.31,0.0,5.8,100,7,0.7,7.2,320,3,0.7,7.2,3,320
2019-01-02 07:00:00,75.0,2.9,46.31,0.0,6.5,90,7,1.5,7.0,90,4,1.5,7.0,4,90
2019-01-02 08:00:00,77.52,2.9,46.31,0.0,6.2,80,6,1.0,6.9,110,7,1.0,6.9,7,110
2019-01-02 09:00:00,100.0,2.9,46.31,0.0,6.3,70,5,1.0,7.0,100,7,1.0,7.0,7,100
2019-01-02 10:00:00,126.8,2.9,46.31,0.0,6.7,170,7,0.5,7.3,120,7,0.5,7.3,7,120
2019-01-02 11:00:00,132.02,2.9,46.31,0.0,6.7,180,8,0.6,7.2,120,7,0.6,7.2,7,120
2019-01-02 12:00:00,150.645,2.9,46.31,0.0,6.9,170,7,0.6,7.2,120,7,0.6,7.2,7,120
2019-01-02 13:00:00,142.74,2.9,46.31,0.0,7.3,170,6,0.7,7.0,120,9,0.7,7.0,9,120
2019-01-02 14:00:00,131.53,2.9,46.31,0.0,7.2,140,6,0.2,6.7,120,9,0.2,6.7,9,120
2019-01-02 15:00:00,145.44,2.9,46.31,0.0,7.1,210,4,0.2,6.6,120,7,0.2,6.6,7,120
2019-01-02 16:00:00,237.07,2.9,46.31,0.0,5.4,140,2,0.0,6.9,120,5,0.0,6.9,5,120
2019-01-02 17:00:00,365.04,2.9,46.31,0.0,4.6,160,3,0.0,6.4,130,5,0.0,6.4,5,130
2019-01-02 18:00:00,267.5,2.9,46.31,0.0,2.4,190,2,0.0,6.8,120,5,0.0,6.8,5,120
2019-01-02 19:00:00,142.6,2.9,46.31,0.0,2.5,210,2,0.0,6.9,90,4,0.0,6.9,4,90
2019-01-02 20:00:00,87.0,2.9,46.31,0.0,3.3,250,3,0.0,6.9,110,3,0.0,6.9,3,110
2019-01-02 21:00:00,76.98,2.9,46.31,0.0,4.7,230,3,0.0,6.6,130,4,0.0,6.6,4,130
2019-01-02 22:00:00,77.52,2.9,46.31,0.0,5.1,240,2,0.0,6.8,100,4,0.0,6.8,4,100
2019-01-02 23:00:00,71.01,2.9,46.31,0.0,5.4,190,3,0.0,6.6,110,3,0.0,6.6,3,110
2019-01-03 00:00:00,70.72,2.43,46.92,0.0,5.9,210,3,0.2,6.3,100,4,0.2,6.3,4,100
2019-01-03 01:00:00,66.72,2.43,46.92,0.0,5.6,200,3,0.0,6.5,80,5,0.0,6.5,5,80
2019-01-03 02:00:00,66.72,2.43,46.92,0.0,5.7,200,3,0.4,6.4,100,6,0.4,6.4,6,100
2019-01-03 03:00:00,62.72,2.43,46.92,0.0,6.0,190,2,0.3,6.7,100,7,0.3,6.7,7,100
2019-01-03 04:00:00,62.72,2.43,46.92,0.0,5.4,190,3,0.3,7.4,110,5,0.3,7.4,5,110
2019-01-03 05:00:00,62.72,2.43,46.92,0.0,5.0,110,2,0.4,7.2,140,9,0.4,7.2,9,140
2019-01-03 06:00:00,69.801,2.43,46.92,0.0,5.7,130,3,0.2,7.2,150,6,0.2,7.2,6,150
2019-01-03 07:00:00,75.203,2.43,46.92,0.0,5.8,160,6,0.1,7.2,150,4,0.1,7.2,4,150
2019-01-03 08:00:00,81.746,2.43,46.92,0.0,5.8,160,7,0.0,7.2,150,3,0.0,7.2,3,150
2019-01-03 09:00:00,86.36,2.43,46.92,0.0,5.7,150,6,0.0,7.4,160,4,0.0,7.4,4,160
2019-01-03 10:00:00,112.332,2.43,46.92,0.0,6.0,160,8,0.0,7.3,170,4,0.0,7.3,4,170
2019-01-03 11:00:00,86.36,2.43,46.92,0.0,6.5,150,6,0.0,7.4,160,6,0.0,7.4,6,160
2019-01-03 12:00:00,110.0,2.43,46.92,0.0,6.9,140,5,0.0,7.4,170,7,0.0,7.4,7,170
2019-01-03 13:00:00,101.44,2.43,46.92,0.0,6.9,140,5,0.0,7.4,160,9,0.0,7.4,9,160
2019-01-03 14:00:00,99.0,2.43,46.92,0.0,7.4,140,3,0.0,7.1,160,10,0.0,7.1,10,160
2019-01-03 15:00:00,114.0,2.43,46.92,0.0,7.6,140,4,0.0,6.6,140,10,0.0,6.6,10,140
2019-01-03 16:00:00,190.57,2.43,46.92,0.0,7.0,150,5,0.0,6.6,130,9,0.0,6.6,9,130
2019-01-03 17:00:00,270.0,2.43,46.92,0.0,6.2,150,3,0.0,6.7,140,10,0.0,6.7,10,140
2019-01-03 18:00:00,224.0,2.43,46.92,0.0,6.6,140,3,0.0,6.8,140,10,0.0,6.8,10,140
2019-01-03 19:00:00,135.0,2.43,46.92,0.0,6.6,200,3,0.0,6.7,140,10,0.0,6.7,10,140
2019-01-03 20:00:00,81.439,2.43,46.92,0.0,6.3,220,2,0.0,6.6,140,10,0.0,6.6,10,140
2019-01-03 21:00:00,77.04,2.43,46.92,0.0,6.8,230,2,0.0,6.4,140,11,0.0,6.4,11,140
2019-01-03 22:00:00,77.68,2.43,46.92,0.0,7.0,180,4,0.0,6.5,140,11,0.0,6.5,11,140
2019-01-03 23:00:00,72.69,2.43,46.92,0.0,6.4,210,4,0.0,6.5,140,11,0.0,6.5,11,140
2019-01-04 00:00:00,68.69,2.5,47.76,0.0,6.3,190,4,0.0,6.4,140,12,0.0,6.4,12,140
2019-01-04 01:00:00,69.0,2.5,47.76,0.0,6.4,210,3,0.0,6.5,140,10,0.0,6.5,10,140
2019-01-04 02:00:00,59.286,2.5,47.76,0.0,6.2,190,4,0.0,6.4,140,11,0.0,6.4,11,140
2019-01-04 03:00:00,59.195,2.5,47.76,0.0,6.0,190,5,0.0,6.4,140,10,0.0,6.4,10,140
2019-01-04 04:00:00,58.4,2.5,47.76,0.0,5.7,220,4,0.0,6.3,140,9,0.0,6.3,9,140
2019-01-04 05:00:00,65.432,2.5,47.76,0.0,5.5,250,4,0.0,6.4,140,7,0.0,6.4,7,140
2019-01-04 06:00:00,72.94,2.5,47.76,0.0,5.3,250,4,0.0,6.2,140,8,0.0,6.2,8,140
2019-01-04 07:00:00,75.501,2.5,47.76,0.0,5.3,190,3,0.0,6.4,140,7,0.0,6.4,7,140
2019-01-04 08:00:00,85.859,2.5,47.76,0.0,5.0,200,5,0.0,6.6,140,8,0.0,6.6,8,140
2019-01-04 09:00:00,139.2,2.5,47.76,0.0,5.1,200,3,0.0,6.3,140,8,0.0,6.3,8,140
2019-01-04 10:00:00,146.9,2.5,47.76,0.0,5.0,200,4,0.0,6.4,140,6,0.0,6.4,6,140
2019-01-04 11:00:00,143.85,2.5,47.76,0.0,4.6,180,6,0.0,6.9,160,7,0.0,6.9,7,160
2019-01-04 12:00:00,144.0,2.5,47.76,0.0,4.7,200,7,0.0,7.3,150,7,0.0,7.3,7,150
2019-01-04 13:00:00,111.89,2.5,47.76,0.0,5.0,160,7,0.0,7.4,150,8,0.0,7.4,8,150
2019-01-04 14:00:00,88.06,2.5,47.76,0.0,5.3,160,7,0.0,7.4,160,6,0.0,7.4,6,160
2019-01-04 15:00:00,109.494,2.5,47.76,0.0,5.5,170,6,0.0,7.2,170,8,0.0,7.2,8,170
2019-01-04 16:00:00,195.59,2.5,47.76,0.0,5.4,150,4,0.0,6.7,170,8,0.0,6.7,8,170
2019-01-04 17:00:00,270.5,2.5,47.76,0.0,5.4,150,5,0.0,6.4,150,8,0.0,6.4,8,150
2019-01-04 18:00:00,231.0,2.5,47.76,0.0,5.5,140,5,0.0,6.2,150,7,0.0,6.2,7,150
