applicable_date,elec_prices,daily_natural_gas_prices,daily_oil_price,rain_d,temp_d,wddir_d,wdsp_d,rain_c,temp_c,wddir_c,wdsp_c,rain_g,temp_g,wdsp_g,wddir_g
2020-01-01 00:00:00,51.24,0.0,0.0,0.0,6.9,220,4,0.0,5.7,60,5,0.0,5.7,5,60
2020-01-01 01:00:00,48.55,0.0,0.0,0.0,6.9,230,4,0.0,6.0,50,6,0.0,6.0,6,50
2020-01-01 02:00:00,36.909,0.0,0.0,0.0,6.3,230,6,0.0,6.4,50,4,0.0,6.4,4,50
2020-01-01 03:00:00,32.77,0.0,0.0,0.0,4.7,230,4,0.0,5.9,70,3,0.0,5.9,3,70
2020-01-01 04:00:00,31.69,0.0,0.0,0.0,0.6,150,3,0.0,5.7,110,3,0.0,5.7,3,110
2020-01-01 05:00:00,31.63,0.0,0.0,0.0,1.5,140,3,0.0,5.8,110,2,0.0,5.8,2,110
2020-01-01 06:00:00,31.545,0.0,0.0,0.0,2.5,110,3,0.0,5.8,160,2,0.0,5.8,2,160
2020-01-01 07:00:00,32.362,0.0,0.0,0.0,0.6,260,6,0.0,6.4,100,5,0.0,6.4,5,100
2020-01-01 08:00:00,33.616,0.0,0.0,0.0,2.1,260,4,0.0,6.5,100,5,0.0,6.5,5,100
2020-01-01 09:00:00,39.184,0.0,0.0,0.0,2.2,210,4,0.0,6.4,100,4,0.0,6.4,4,100
2020-01-01 10:00:00,45.675,0.0,0.0,0.0,1.7,160,3,0.0,6.9,110,5,0.0,6.9,5,110
2020-01-01 11:00:00,52.6,0.0,0.0,0.0,6.0,200,3,0.0,7.4,140,5,0.0,7.4,5,140
2020-01-01 12:00:00,49.0,0.0,0.0,0.0,6.4,170,4,0.0,8.4,150,6,0.0,8.4,6,150
2020-01-01 13:00:00,48.079,0.0,0.0,0.0,7.4,190,4,0.0,9.2,170,7,0.0,9.2,7,170
2020-01-01 14:00:00,47.706,0.0,0.0,0.0,7.3,220,6,0.0,9.1,190,8,0.0,9.1,8,190
2020-01-01 15:00:00,43.21,0.0,0.0,0.0,7.2,210,7,0.0,9.1,190,7,0.0,9.1,7,190
2020-01-01 16:00:00,53.95,0.0,0.0,0.0,7.1,220,8,0.0,8.6,180,7,0.0,8.6,7,180
2020-01-01 17:00:00,58.09,0.0,0.0,0.0,6.5,180,7,0.0,7.7,190,8,0.0,7.7,8,190
2020-01-01 18:00:00,46.17,0.0,0.0,0.0,5.3,150,4,0.0,8.2,180,9,0.0,8.2,9,180
2020-01-01 19:00:00,35.27,0.0,0.0,0.0,4.3,140,3,0.0,8.4,190,11,0.0,8.4,11,190
2020-01-01 20:00:00,32.77,0.0,0.0,0.0,1.6,140,2,0.0,8.1,180,12,0.0,8.1,12,180
2020-01-01 21:00:00,27.08,0.0,0.0,0.0,2.0,140,2,0.0,7.2,180,15,0.0,7.2,15,180
