applicable_date,elec_prices,daily_natural_gas_prices,daily_oil_price,rain_d,temp_d,wddir_d,wdsp_d,rain_c,temp_c,wddir_c,wdsp_c,rain_g,temp_g,wdsp_g,wddir_g
2019-05-01 00:00:00,45.256,2.31,63.55,0.0,9.3,290,3,0.0,7.3,310,5,0.0,7.3,5,310
2019-05-01 01:00:00,44.97,2.31,63.55,0.2,8.5,280,6,0.0,6.8,300,6,0.0,6.8,6,300
2019-05-01 02:00:00,43.324,2.31,63.55,0.0,7.7,280,7,0.0,6.2,300,6,0.0,6.2,6,300
2019-05-01 03:00:00,42.51,2.31,63.55,0.0,7.3,260,5,0.0,5.7,300,5,0.0,5.7,5,300
2019-05-01 04:00:00,41.86,2.31,63.55,0.0,7.2,260,5,0.0,4.9,300,6,0.0,4.9,6,300
2019-05-01 05:00:00,43.377,2.31,63.55,0.0,7.2,260,7,0.0,5.0,300,6,0.0,5.0,6,300
2019-05-01 06:00:00,45.799,2.31,63.55,0.0,7.2,270,8,0.0,5.3,300,6,0.0,5.3,6,300
2019-05-01 07:00:00,66.862,2.31,63.55,0.0,7.3,270,8,0.0,6.4,300,5,0.0,6.4,5,300
2019-05-01 08:00:00,72.872,2.31,63.55,0.0,8.6,280,10,0.0,8.6,280,4,0.0,8.6,4,280
2019-05-01 09:00:00,70.0,2.31,63.55,0.0,10.2,280,9,0.0,10.2,270,6,0.0,10.2,6,270
2019-05-01 10:00:00,68.014,2.31,63.55,0.0,10.8,270,9,0.0,11.3,290,8,0.0,11.3,8,290
2019-05-01 11:00:00,63.885,2.31,63.55,0.0,11.5,270,9,0.0,11.9,260,7,0.0,11.9,7,260
2019-05-01 12:00:00,60.727,2.31,63.55,0.0,12.9,240,7,0.0,12.1,220,7,0.0,12.1,7,220
2019-05-01 13:00:00,53.44,2.31,63.55,0.0,13.6,250,7,0.0,11.9,230,6,0.0,11.9,6,230
2019-05-01 14:00:00,45.597,2.31,63.55,0.0,14.5,270,8,0.8,10.5,310,9,0.8,10.5,9,310
2019-05-01 15:00:00,46.153,2.31,63.55,0.0,14.0,250,8,0.0,12.0,290,6,0.0,12.0,6,290
2019-05-01 16:00:00,56.913,2.31,63.55,0.0,13.3,280,10,0.0,12.6,280,7,0.0,12.6,7,280
2019-05-01 17:00:00,63.0,2.31,63.55,0.0,13.6,250,9,0.0,13.6,270,9,0.0,13.6,9,270
2019-05-01 18:00:00,61.667,2.31,63.55,0.0,12.3,270,11,0.0,12.0,280,8,0.0,12.0,8,280
