Feature,Score,p-Value,MAE
ROI-DA_lag_48h,2326.2954218654654,0.0,
ROI-DA_lag_49h,1748.79205285442,0.0,
ROI-DA_lag_50h,948.6579093469768,6.063408899789037e-197,
hour,893.6227399665869,3.2309960011970212e-186,
Gas_lag_48h,463.4582445106857,5.664511581741277e-100,
Gas_lag_49h,463.23551039107264,6.294696396327252e-100,
Gas_lag_50h,462.8965587301881,7.390831977460001e-100,
Gas_lag_51h,462.2057473741158,1.0251665919039447e-99,
ROI-DA_lag_51h,428.3822535245263,9.620124591196313e-93,
Oil_lag_48h,339.1831788099052,3.256619867602943e-74,8.445765436136911
Oil_lag_49h,338.6136288382448,4.2830890207181424e-74,
Oil_lag_50h,337.74109535194634,6.517232033567901e-74,
Oil_lag_51h,336.6862409595888,1.0826560947086728e-73,
day_of_year,215.17738554757216,4.290024438530397e-48,
day_of_week,126.21466123187408,4.555464191702676e-29,
